Accelerometer,AirSpeed,Altitude,Pressure,Temperature
0.7,14.3,588,902,20.6
0.6,17.3,580,903,20.1
0.5,16.5,578,904,21.6
0.3,10.3,570,906,20.8
0.3,19.0,569,907,20.2
0.2,15.6,562,908,20.6
0.4,17.7,561,909,21.0
0.6,10.8,554,910,21.9
0.2,13.7,536,911,21.2
0.7,17.2,528,912,21.5
0.6,14.3,516,915,20.8
0.3,13.0,508,917,21.6
0.6,14.5,503,920,21.3
0.9,18.0,486,922,20.2
0.1,13.5,469,924,21.4
1.0,19.6,437,931,20.7
0.9,18.3,425,934,21.1
0.9,16.1,418,935,20.2
0.4,12.8,411,936,20.8
0.3,18.0,406,937,21.9
0.6,11.6,402,939,21.5
0.4,12.1,398,944,22.0
0.8,15.1,397,945,22.0
0.3,16.6,382,946,21.5
0.0,14.1,371,947,20.1
0.3,17.7,286,948,20.4
0.3,14.5,280,950,20.5
0.9,14.8,273,951,20.9
0.7,14.3,263,952,20.9
0.4,16.4,262,953,20.7
0.6,17.3,235,956,20.7
0.3,18.0,222,957,21.2
0.6,12.1,208,964,21.6
0.1,16.7,200,966,21.9
0.7,16.6,195,968,21.9
0.4,15.6,164,969,21.8
0.8,15.5,147,970,22.0
0.5,18.1,134,972,21.0
0.0,18.9,132,977,20.3
0.6,10.1,120,979,21.1
0.7,14.3,119,987,20.4
0.9,15.4,110,993,21.1
0.3,16.0,79,994,21.4
0.7,14.7,63,995,20.9
0.5,17.7,46,997,21.8
0.1,16.8,45,999,21.5
0.3,14.4,41,1000,20.3
0.3,19.3,21,1004,21.0
1.0,17.0,13,1005,20.2
0.1,10.2,11,1009,20.8
